Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2024-08-09,Blackburn,Derby,4,2,2.2,3.5,3.1,2.1,4.0,3.3,11,12,7,4,2.32,3.39,3.25,1,9
2024-08-09,Preston,Sheffield United,0,2,3.1,3.4,2.25,3.1,3.5,2.2,12,11,2,3,3.25,3.44,2.3,3,6
2024-08-10,Cardiff,Sunderland,0,2,2.8,3.3,2.5,2.88,3.3,2.45,12,11,4,4,2.94,3.15,2.62,4,4
2024-08-10,Hull,Bristol City,1,1,2.63,3.25,2.63,2.7,3.25,2.6,11,15,5,3,2.71,3.3,2.73,2,8
2024-08-10,Leeds,Portsmouth,3,3,1.36,5.0,8.0,1.25,6.5,10.0,22,5,10,4,1.38,5.14,7.88,12,0
2024-08-10,Middlesbrough,Swansea,1,0,1.8,3.5,4.33,1.62,3.8,5.25,18,5,4,0,1.8,3.92,4.31,6,9
2024-08-10,Millwall,Watford,2,3,2.3,3.25,3.25,2.38,3.2,3.2,16,10,4,5,2.39,3.19,3.27,5,5
2024-08-10,Oxford,Norwich,2,0,3.0,3.6,2.2,2.88,3.5,2.3,12,10,4,2,3.2,3.52,2.26,5,5
2024-08-10,QPR,West Brom,1,3,2.45,3.3,2.8,2.6,3.3,2.63,11,7,6,4,2.62,3.16,2.95,12,3
2024-08-10,Stoke,Coventry,1,0,2.45,3.6,2.7,2.4,3.6,2.7,11,8,2,1,2.53,3.51,2.79,9,7
2024-08-11,Sheffield Weds,Plymouth,4,0,1.8,3.5,4.5,1.73,3.75,4.75,31,5,11,1,1.83,3.59,4.39,15,1
2024-08-12,Luton,Burnley,1,4,2.38,3.4,2.88,2.7,3.4,2.5,10,11,3,6,2.37,3.39,3.01,5,4
2024-08-16,Coventry,Oxford,3,2,1.7,3.9,4.75,1.67,4.0,4.75,26,7,10,2,1.72,4.02,4.88,14,1
2024-08-17,Derby,Middlesbrough,1,0,3.5,3.5,2.0,3.75,3.6,1.9,3,20,2,4,3.5,3.51,2.08,3,8
2024-08-17,Portsmouth,Luton,0,0,3.1,3.4,2.25,3.4,3.6,2.05,15,9,6,4,3.03,3.62,2.25,5,4
2024-08-17,West Brom,Leeds,0,0,3.4,3.5,2.1,3.3,3.5,2.1,8,8,1,1,3.34,3.52,2.14,5,4
2024-08-17,Bristol City,Millwall,4,3,2.0,3.2,4.1,2.05,3.1,3.9,11,15,6,4,2.02,3.27,3.98,5,4
2024-08-17,Burnley,Cardiff,5,0,1.45,4.2,7.0,1.6,4.1,5.5,9,11,4,4,1.46,4.53,6.66,2,5
2024-08-17,Norwich,Blackburn,2,2,2.0,3.4,3.7,2.45,3.2,2.9,14,7,4,3,2.07,3.59,3.45,6,5
2024-08-17,Plymouth,Hull,1,1,2.8,3.7,2.3,2.75,3.7,2.3,16,14,7,2,2.82,3.64,2.37,6,3
2024-08-17,Sheffield United,QPR,2,2,1.8,3.75,4.2,1.7,3.8,4.75,14,14,3,3,1.77,3.78,4.46,4,9
2024-08-17,Swansea,Preston,3,0,1.95,3.4,3.9,1.95,3.5,3.7,12,5,6,2,1.98,3.4,3.95,5,3
2024-08-17,Watford,Stoke,3,0,2.63,3.25,2.7,2.63,3.2,2.63,24,7,8,3,2.7,3.21,2.72,2,4
2024-08-18,Sunderland,Sheffield Weds,4,0,2.2,3.3,3.3,2.15,3.4,3.3,15,9,6,3,2.12,3.55,3.35,5,8
2024-08-23,Sheffield Weds,Leeds,0,2,4.1,3.4,1.91,3.9,3.3,2.0,8,13,2,5,4.16,3.57,1.94,3,2
2024-08-24,Bristol City,Coventry,1,1,2.45,3.4,2.8,2.6,3.4,2.63,12,8,7,1,2.54,3.38,2.87,8,2
2024-08-24,Hull,Millwall,0,0,2.2,3.25,3.3,2.35,3.2,3.1,14,13,4,5,2.2,3.4,3.44,5,7
2024-08-24,QPR,Plymouth,1,1,1.7,3.8,4.75,1.7,4.0,4.5,30,6,10,1,1.75,3.85,4.78,11,1
2024-08-24,Blackburn,Oxford,2,1,1.75,3.75,4.33,1.6,4.0,5.5,18,13,4,3,1.8,3.81,4.24,7,5
2024-08-24,Middlesbrough,Portsmouth,2,2,1.45,4.33,7.0,1.29,5.5,9.0,29,7,7,3,1.45,4.45,6.91,15,2
2024-08-24,Norwich,Sheffield United,1,1,2.7,3.4,2.5,2.6,3.4,2.6,7,12,5,4,2.78,3.54,2.46,1,5
2024-08-24,Preston,Luton,1,0,3.2,3.4,2.2,2.9,3.4,2.38,6,17,2,4,3.16,3.55,2.21,2,13
2024-08-24,Stoke,West Brom,1,2,2.55,3.2,2.8,2.6,3.25,2.7,7,8,2,5,2.63,3.17,2.83,2,5
2024-08-24,Sunderland,Burnley,1,0,3.0,3.4,2.3,2.4,3.3,2.9,14,4,3,1,3.06,3.43,2.32,3,1
2024-08-24,Watford,Derby,2,1,1.85,3.5,4.1,1.85,3.4,4.2,12,8,3,3,1.87,3.7,4.06,4,2
2024-08-25,Swansea,Cardiff,1,1,1.95,3.5,3.9,2.0,3.4,3.9,9,7,4,3,1.99,3.6,3.69,2,5
2024-08-30,Luton,QPR,1,2,1.91,3.5,3.7,1.85,3.5,3.9,11,11,5,4,1.99,3.66,3.88,4,5
2024-08-31,Burnley,Blackburn,1,1,1.91,3.6,3.8,2.15,3.3,3.3,15,10,3,3,1.94,3.71,3.89,9,0
2024-08-31,Cardiff,Middlesbrough,0,2,3.9,3.75,1.85,3.5,3.7,2.0,12,10,3,5,3.87,3.83,1.92,4,6
2024-08-31,Coventry,Norwich,0,1,1.83,3.75,4.0,1.91,3.7,3.7,14,9,5,1,1.91,3.81,3.94,6,3
2024-08-31,Derby,Bristol City,3,0,2.9,3.25,2.4,2.8,3.2,2.55,19,13,7,5,3.06,3.28,2.46,6,9
