Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2023-08-04,Sheffield Weds,Southampton,1,2,3.1,3.4,2.3,3.2,3.4,2.25,8,23,1,7,3.3,3.44,2.3,3,6
2023-08-05,Blackburn,West Brom,2,1,2.75,3.3,2.6,2.8,3.3,2.5,12,14,3,4,2.92,3.24,2.65,6,5
2023-08-05,Bristol City,Preston,1,1,2.05,3.5,3.6,2.1,3.4,3.5,5,11,2,3,2.13,3.45,3.72,2,4
2023-08-05,Middlesbrough,Millwall,0,1,1.91,3.3,4.33,2.1,3.4,3.6,16,12,2,2,2.05,3.48,3.96,12,6
2023-08-05,Norwich,Hull,2,1,1.75,3.5,5.0,1.8,3.75,4.5,28,8,5,3,1.8,3.71,4.87,9,4
2023-08-05,Plymouth,Huddersfield,3,1,2.2,3.4,3.25,2.25,3.4,3.1,14,15,7,3,2.19,3.46,3.55,2,9
2023-08-05,Stoke,Rotherham,4,1,1.62,3.8,5.75,1.65,3.8,5.5,15,6,6,3,1.65,4.0,5.74,10,2
2023-08-05,Swansea,Birmingham,1,1,1.85,3.6,4.2,1.85,3.6,4.2,11,11,6,5,1.9,3.65,4.37,5,5
2023-08-05,Watford,QPR,4,0,1.85,3.6,4.2,1.8,3.6,4.5,23,4,12,1,1.88,3.69,4.39,8,2
2023-08-06,Leicester,Coventry,2,1,1.57,4.2,5.5,1.8,3.75,4.2,20,20,7,6,1.6,4.24,5.9,6,8
2023-08-06,Leeds,Cardiff,2,2,1.4,4.5,8.5,1.45,4.5,7.0,25,7,6,2,1.47,4.76,7.04,10,0
2023-08-06,Sunderland,Ipswich,1,2,2.38,3.3,3.0,2.9,3.4,2.45,20,13,4,5,2.53,3.36,2.99,11,4
2023-08-12,Coventry,Middlesbrough,3,0,2.38,3.3,3.0,2.38,3.3,3.0,12,14,5,2,2.45,3.45,3.04,7,7
