Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2019-08-02,Luton,Middlesbrough,3,3,2.37,3.3,3.3,2.3,3.4,3.4,12,17,4,8,2.34,3.29,3.24,8,11
2019-08-03,Barnsley,Fulham,1,0,3.5,3.5,2.2,3.5,3.6,2.15,17,15,4,4,3.38,3.57,2.15,7,5
2019-08-03,Blackburn,Charlton,1,2,1.83,3.75,4.75,1.7,3.8,5.75,14,9,2,5,1.76,3.87,4.64,12,2
2019-08-03,Brentford,Birmingham,0,1,1.7,4.0,5.5,1.95,3.5,4.33,15,1,3,1,1.71,3.86,5.0,6,2
2019-08-03,Millwall,Preston,1,0,2.62,3.3,2.9,2.45,3.3,3.2,8,5,3,0,2.63,3.16,2.91,8,7
2019-08-03,Reading,Sheffield Weds,1,3,2.62,3.3,2.9,2.8,3.25,2.75,13,13,4,5,2.61,3.17,2.94,7,3
2019-08-03,Stoke,QPR,1,2,1.8,3.6,5.25,1.8,3.6,5.25,13,5,1,3,1.81,3.49,4.9,7,0
2019-08-03,Swansea,Hull,2,1,2.05,3.5,4.0,1.85,3.9,4.33,19,12,8,4,2.05,3.39,3.88,10,4
2019-08-03,Wigan,Cardiff,3,2,3.1,3.3,2.5,3.0,3.4,2.5,12,13,4,4,3.1,3.21,2.46,6,6
2019-08-03,Nott'm Forest,West Brom,1,2,2.5,3.4,3.0,2.5,3.3,3.1,15,12,4,3,2.42,3.34,3.06,9,5
2019-08-04,Bristol City,Leeds,1,3,3.1,3.5,2.37,3.6,3.4,2.2,13,18,3,4,3.02,3.36,2.43,4,6
2019-08-05,Huddersfield,Derby,1,2,2.2,3.5,3.5,2.15,3.4,3.8,14,11,2,3,2.18,3.39,3.48,8,0
2019-08-10,Leeds,Nott'm Forest,1,1,1.5,3.8,8.0,1.57,4.0,7.0,14,6,4,1,1.51,4.33,7.06,10,3
2019-08-10,Birmingham,Bristol City,1,1,2.55,3.2,2.75,2.8,3.2,2.87,12,8,3,5,2.71,3.17,2.89,5,8
2019-08-10,Cardiff,Luton,2,1,1.85,3.5,4.2,1.9,3.6,4.5,16,8,4,2,1.91,3.49,4.57,3,3
2019-08-10,Charlton,Stoke,3,1,3.3,3.3,2.2,3.2,3.2,2.5,5,12,3,3,3.53,3.39,2.22,1,4
2019-08-10,Derby,Swansea,0,0,2.15,3.4,3.3,2.35,3.4,3.3,17,13,3,3,2.28,3.33,3.44,8,3
2019-08-10,Fulham,Blackburn,2,0,1.75,3.75,4.5,1.75,3.9,5.0,12,9,2,0,1.76,3.98,4.68,5,5
2019-08-10,Hull,Reading,2,1,2.0,3.4,3.75,2.0,3.6,4.0,14,13,5,4,2.08,3.59,3.7,5,7
2019-08-10,Middlesbrough,Brentford,0,1,2.3,3.4,3.0,2.5,3.4,3.0,14,9,5,2,2.48,3.4,3.01,7,3
2019-08-10,Preston,Wigan,3,0,2.1,3.4,3.5,2.15,3.5,3.6,16,11,5,6,2.16,3.34,3.73,8,7
2019-08-10,QPR,Huddersfield,1,1,2.6,3.25,2.7,2.62,3.3,2.9,17,6,5,4,2.77,3.3,2.74,7,0
2019-08-10,Sheffield Weds,Barnsley,2,0,2.1,3.25,3.5,2.15,3.4,3.8,16,11,7,3,2.26,3.28,3.53,6,4
2019-08-10,West Brom,Millwall,1,1,1.85,3.6,4.0,1.9,3.6,4.5,10,9,4,2,1.94,3.55,4.31,8,1
2019-08-16,Huddersfield,Fulham,1,2,3.2,3.4,2.25,3.1,3.3,2.3,6,17,1,8,3.28,3.34,2.35,5,5
2019-08-17,Barnsley,Charlton,2,2,2.0,3.5,3.75,2.15,3.5,3.3,13,12,3,5,2.04,3.55,3.89,4,2
2019-08-17,Blackburn,Middlesbrough,1,0,2.4,3.3,3.0,2.2,3.4,3.3,14,9,3,2,2.51,3.27,3.07,9,2
2019-08-17,Brentford,Hull,1,1,1.61,4.0,5.5,1.75,3.6,4.75,15,20,4,4,1.69,4.14,4.98,5,4
2019-08-17,Bristol City,QPR,2,0,2.05,3.3,3.75,2.05,3.3,3.75,9,15,3,2,2.09,3.38,3.94,3,6
2019-08-17,Luton,West Brom,1,2,2.7,3.3,2.62,2.7,3.3,2.62,8,24,4,3,2.79,3.38,2.66,4,8
2019-08-17,Millwall,Sheffield Weds,1,0,2.55,3.2,2.9,2.7,3.1,2.75,3,21,2,9,2.67,3.02,3.08,6,4
2019-08-17,Nott'm Forest,Birmingham,3,0,2.0,3.4,3.8,2.1,3.2,3.75,14,9,5,2,2.05,3.28,4.24,3,6
2019-08-17,Stoke,Derby,2,2,2.25,3.1,3.5,2.15,3.2,3.6,19,8,5,6,2.37,3.15,3.45,10,5
2019-08-17,Swansea,Preston,3,2,2.3,3.3,3.2,2.1,3.4,3.5,13,17,4,5,2.35,3.28,3.34,4,9
2019-08-17,Wigan,Leeds,0,2,4.5,3.6,1.83,5.5,3.9,1.61,6,20,2,6,4.46,3.68,1.88,6,6
2019-08-18,Reading,Cardiff,3,0,3.5,3.25,2.15,3.1,3.3,2.35,14,14,6,7,3.55,3.36,2.22,4,2
2019-08-20,Birmingham,Barnsley,2,0,2.2,3.3,3.4,2.25,3.4,3.25,14,6,6,1,2.27,3.26,3.53,4,7
2019-08-20,Derby,Bristol City,1,2,2.15,3.3,3.5,1.95,3.5,3.9,18,8,4,3,2.13,3.42,3.72,9,0
2019-08-20,Hull,Blackburn,0,1,2.37,3.4,3.0,2.55,3.5,2.7,12,13,1,5,2.38,3.5,3.08,1,8
2019-08-20,Middlesbrough,Wigan,1,0,1.95,3.3,4.2,1.85,3.4,4.5,13,11,3,1,1.97,3.45,4.36,3,5
2019-08-20,Sheffield Weds,Luton,1,0,1.83,3.6,4.5,1.72,3.8,4.75,9,10,3,2,1.88,3.69,4.44,3,8
2019-08-21,Cardiff,Huddersfield,2,1,2.05,3.3,3.8,2.0,3.4,3.75,24,8,6,3,2.05,3.42,4.01,8,2
2019-08-21,Charlton,Nott'm Forest,1,1,2.6,3.3,2.75,2.87,3.25,2.5,8,14,3,3,2.74,3.27,2.78,7,1
2019-08-21,Fulham,Millwall,4,0,1.61,3.9,5.5,1.65,3.8,5.5,11,7,7,1,1.68,3.83,5.64,8,1
2019-08-21,Leeds,Brentford,1,0,1.6,4.2,5.25,1.61,3.9,5.5,11,5,4,1,1.61,4.38,5.48,8,4
2019-08-21,Preston,Stoke,3,1,2.45,3.2,3.0,2.4,3.25,3.0,8,8,5,2,2.48,3.2,3.19,0,4
2019-08-21,QPR,Swansea,1,3,2.5,3.3,2.87,2.62,3.25,2.7,22,10,3,5,2.61,3.36,2.86,7,2
2019-08-21,West Brom,Reading,1,1,1.61,4.0,5.5,1.72,3.75,4.75,20,10,4,5,1.66,4.0,5.56,11,5
2019-08-24,Derby,West Brom,1,1,2.37,3.4,2.87,2.87,3.4,2.4,11,13,4,4,2.52,3.44,2.92,6,6
2019-08-24,Barnsley,Luton,1,3,2.15,3.4,3.25,2.3,3.4,3.1,17,16,5,7,2.3,3.55,3.2,8,8
2019-08-24,Blackburn,Cardiff,0,0,2.2,3.4,3.2,2.25,3.4,3.25,9,13,2,3,2.4,3.36,3.17,9,4
2019-08-24,Charlton,Brentford,1,0,3.1,3.4,2.25,3.1,3.4,2.3,3,22,1,4,3.12,3.44,2.39,2,14
2019-08-24,Fulham,Nott'm Forest,1,2,1.65,3.75,5.5,1.61,3.9,5.5,20,11,6,3,1.65,4.08,5.47,13,1
2019-08-24,Huddersfield,Reading,0,2,2.1,3.4,3.6,2.3,3.25,3.25,10,11,2,4,2.19,3.3,3.71,8,3
2019-08-24,Hull,Bristol City,1,3,2.5,3.3,2.75,2.4,3.4,2.9,16,10,6,4,2.52,3.43,2.93,9,6
2019-08-24,Middlesbrough,Millwall,1,1,1.95,3.4,4.0,1.95,3.4,4.0,11,12,2,4,2.04,3.54,3.91,6,7
