Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2025-08-08,Birmingham,Ipswich,1,1,2.4,3.3,2.9,2.55,3.25,2.75,11,7,3,1,2.55,3.29,2.84,1,4
2025-08-09,Charlton,Watford,1,0,2.45,3.3,2.88,2.25,3.4,3.2,12,10,5,1,2.54,3.15,2.95,3,2
2025-08-09,Coventry,Hull,0,0,1.73,3.8,4.5,1.67,3.9,4.75,18,7,3,3,1.75,3.8,4.54,8,2
2025-08-09,Southampton,Wrexham,2,1,1.7,3.75,4.75,1.9,3.4,4.1,27,10,10,2,1.72,3.77,4.83,7,4
2025-08-09,Middlesbrough,Swansea,1,0,2.0,3.5,3.6,2.1,3.3,3.6,6,3,3,1,2.05,3.46,3.65,7,2
2025-08-09,Norwich,Millwall,1,2,2.0,3.3,3.8,2.15,3.3,3.4,15,15,3,3,2.04,3.35,3.83,6,5
2025-08-09,Oxford,Portsmouth,0,1,2.55,3.4,2.7,2.63,3.3,2.6,18,9,4,4,2.63,3.21,2.79,8,4
2025-08-09,QPR,Preston,1,1,2.3,3.2,3.2,2.55,3.1,2.88,13,11,3,3,2.35,3.12,3.3,5,4
2025-08-09,Stoke,Derby,3,1,2.3,3.2,3.2,2.05,3.2,3.75,12,3,7,2,2.36,3.1,3.29,7,3
2025-08-09,West Brom,Blackburn,1,0,1.83,3.4,4.33,1.83,3.5,4.33,13,10,5,1,1.84,3.52,4.45,3,7
2025-08-09,Sheffield United,Bristol City,1,4,1.7,3.75,4.75,1.7,3.8,4.75,20,9,6,5,1.75,3.79,4.62,14,3
2025-08-10,Leicester,Sheffield Weds,2,1,1.14,8.0,17.0,1.22,6.25,13.0,27,7,13,3,1.12,8.28,18.12,13,3
2025-08-16,Derby,Coventry,3,5,3.1,3.2,2.38,3.5,3.2,2.15,13,20,4,10,3.05,3.19,2.46,6,5
2025-08-16,Portsmouth,Norwich,1,2,2.45,3.4,2.75,2.5,3.4,2.7,19,11,3,5,2.49,3.34,2.87,9,0
2025-08-16,Wrexham,West Brom,2,3,2.75,3.2,2.55,2.7,3.2,2.7,15,17,3,5,2.84,3.17,2.62,5,5
2025-08-16,Blackburn,Birmingham,1,2,3.1,3.25,2.3,3.25,3.1,2.3,5,8,2,4,3.25,3.21,2.32,3,5
2025-08-16,Bristol City,Charlton,0,0,1.91,3.5,3.8,1.95,3.6,3.7,14,8,1,2,1.96,3.54,3.84,4,6
2025-08-16,Millwall,Middlesbrough,0,3,2.15,3.25,3.4,2.15,3.3,3.4,11,12,1,5,2.21,3.2,3.5,6,10
2025-08-16,Preston,Leicester,2,1,3.6,3.3,2.05,4.0,3.4,1.91,14,14,4,2,3.49,3.43,2.12,6,4
2025-08-16,Sheffield Weds,Stoke,0,3,3.9,3.4,1.95,3.4,3.3,2.15,15,12,5,6,3.89,3.48,1.95,6,7
2025-08-16,Swansea,Sheffield United,1,0,2.75,3.2,2.63,2.38,3.1,3.1,13,8,4,0,2.78,3.19,2.66,4,8
2025-08-16,Watford,QPR,2,1,2.15,3.1,3.6,1.91,3.5,3.9,17,13,4,3,2.19,3.33,3.4,2,4
2025-08-17,Ipswich,Southampton,1,1,2.1,3.5,3.3,1.85,3.7,3.9,14,11,1,3,2.11,3.52,3.43,4,5
2025-08-17,Hull,Oxford,3,2,1.91,3.4,4.1,1.9,3.4,4.0,19,11,7,6,1.88,3.45,4.3,10,4
2025-08-22,Derby,Bristol City,1,1,3.0,3.2,2.38,3.0,3.0,2.5,5,11,2,3,3.15,3.24,2.46,4,5
2025-08-23,Charlton,Leicester,0,1,3.3,3.3,2.2,2.88,3.2,2.5,20,6,7,2,3.39,3.21,2.25,13,4
2025-08-23,Hull,Blackburn,0,3,2.38,3.25,3.0,2.3,3.3,3.1,8,14,2,6,2.37,3.21,3.16,2,1
2025-08-23,Swansea,Watford,1,1,2.0,3.3,3.7,1.73,3.6,4.75,11,9,2,4,2.04,3.39,3.77,7,2
