Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2021-08-06,Bournemouth,West Brom,2,2,2.3,3.25,3.2,2.45,3.3,2.9,7,15,4,5,2.37,3.36,3.24,4,8
2021-08-07,Blackburn,Swansea,2,1,2.1,3.4,3.4,2.05,3.3,3.8,21,7,10,4,2.18,3.38,3.65,7,5
2021-08-07,Bristol City,Blackpool,1,1,2.15,3.4,3.3,2.15,3.3,3.5,11,7,2,1,2.27,3.39,3.35,2,4
2021-08-07,Cardiff,Barnsley,1,1,2.2,3.4,3.2,2.5,3.25,2.9,10,10,6,3,2.3,3.26,3.48,2,4
2021-08-07,Derby,Huddersfield,1,1,4.5,3.75,1.72,2.15,3.2,3.6,11,17,3,6,4.71,3.81,1.76,4,6
2021-08-07,Luton,Peterboro,3,0,2.1,3.4,3.4,2.25,3.3,3.3,12,4,6,1,2.26,3.6,3.25,7,2
2021-08-07,Preston,Hull,1,4,2.25,3.4,3.1,2.2,3.3,3.4,7,16,4,5,2.41,3.32,3.21,2,7
2021-08-07,QPR,Millwall,1,1,2.05,3.4,3.6,2.0,3.3,3.8,11,10,4,3,2.12,3.43,3.76,7,5
2021-08-07,Stoke,Reading,3,2,2.05,3.25,3.8,1.9,3.25,4.5,18,11,6,5,2.1,3.36,3.94,6,9
2021-08-07,Sheffield United,Birmingham,0,1,1.75,3.5,5.0,1.65,3.5,6.0,16,9,2,2,1.83,3.5,4.91,8,2
2021-08-08,Fulham,Middlesbrough,1,1,1.9,3.4,4.2,1.85,3.25,4.75,16,7,3,1,1.92,3.59,4.27,4,2
2021-08-08,Coventry,Nott'm Forest,2,1,2.45,3.3,2.8,2.2,3.1,3.6,12,10,6,2,2.54,3.13,3.12,0,5
2021-08-14,Peterboro,Derby,2,1,2.15,3.3,3.5,2.4,3.2,3.1,13,7,4,2,2.23,3.35,3.48,2,5
2021-08-14,Barnsley,Coventry,1,0,2.0,3.3,3.9,2.0,3.3,3.9,8,12,1,2,2.08,3.29,4.03,1,5
2021-08-14,Birmingham,Stoke,0,0,2.7,3.1,2.8,3.0,3.1,2.5,9,8,2,2,2.85,3.08,2.8,7,6
2021-08-14,Blackpool,Cardiff,0,2,3.1,3.2,2.4,2.87,3.1,2.6,8,17,2,8,3.15,3.23,2.47,5,3
2021-08-14,Huddersfield,Fulham,1,5,4.75,3.3,1.85,4.5,3.4,1.85,9,15,2,11,4.6,3.46,1.89,5,7
2021-08-14,Hull,QPR,0,3,2.8,3.25,2.6,2.45,3.25,3.0,12,14,4,8,2.79,3.26,2.72,7,2
2021-08-14,Middlesbrough,Bristol City,2,1,1.8,3.4,5.0,2.05,3.2,4.0,13,10,7,2,1.81,3.48,5.12,1,1
2021-08-14,Millwall,Blackburn,1,1,2.45,3.2,3.0,2.25,3.1,3.5,15,2,2,1,2.5,3.2,3.12,7,3
2021-08-14,Nott'm Forest,Bournemouth,1,2,3.5,3.3,2.15,2.62,3.2,2.8,15,8,5,3,3.53,3.33,2.22,6,4
2021-08-14,Reading,Preston,2,1,2.2,3.2,3.5,2.37,3.2,3.1,12,13,2,5,2.2,3.38,3.53,2,12
2021-08-14,West Brom,Luton,3,2,1.7,3.6,5.5,1.61,3.9,5.5,18,11,6,5,1.66,3.89,5.66,8,4
2021-08-14,Swansea,Sheffield United,0,0,3.0,3.2,2.45,3.6,3.3,2.1,8,8,1,2,3.11,3.2,2.51,1,6
2021-08-17,Barnsley,Luton,0,1,2.3,3.2,3.3,2.2,3.2,3.5,10,7,3,4,2.35,3.27,3.37,4,4
2021-08-17,Blackpool,Coventry,0,1,3.0,3.2,2.45,2.75,3.1,2.7,12,19,4,5,3.04,3.24,2.57,6,11
2021-08-17,Huddersfield,Preston,1,0,2.45,3.2,3.0,2.6,3.1,2.87,7,8,0,2,2.5,3.21,3.17,4,4
2021-08-17,Millwall,Fulham,1,2,3.8,3.1,2.15,3.6,3.1,2.2,7,16,2,6,3.97,3.1,2.2,2,5
2021-08-17,Peterboro,Cardiff,2,2,3.2,3.2,2.4,2.87,3.2,2.55,8,9,3,3,3.25,3.19,2.47,0,6
2021-08-17,Swansea,Stoke,1,3,3.1,3.1,2.45,3.1,3.2,2.37,9,12,3,5,3.22,3.16,2.5,5,5
2021-08-17,Reading,Bristol City,2,3,2.2,3.25,3.4,2.2,3.2,3.5,11,8,3,5,2.32,3.2,3.53,5,2
2021-08-18,Birmingham,Bournemouth,0,2,3.1,3.25,2.4,2.55,3.1,2.9,9,9,3,4,3.23,3.19,2.44,5,3
2021-08-18,Hull,Derby,0,1,1.8,3.75,4.5,2.1,3.1,3.9,9,13,2,5,1.87,3.63,4.46,5,3
2021-08-18,Middlesbrough,QPR,2,3,2.4,3.25,3.0,2.4,3.25,3.0,14,8,6,6,2.53,3.17,3.1,7,1
2021-08-18,Nott'm Forest,Blackburn,1,2,2.37,3.3,3.1,2.45,3.2,3.0,7,9,4,7,2.5,3.24,3.09,3,1
