Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2022-08-17,Sheffield United,Sunderland,2,1,1.75,3.6,4.75,1.72,3.8,4.75,22,4,7,2,1.82,3.61,4.92,13,3
2022-08-17,West Brom,Cardiff,0,0,1.6,4.0,5.5,1.55,4.0,6.0,13,7,5,0,1.66,4.06,5.47,9,2
2022-08-19,Norwich,Millwall,2,0,1.95,3.4,4.2,1.85,3.5,4.33,18,10,3,2,2.0,3.39,4.28,5,4
2022-08-20,Birmingham,Wigan,0,1,2.55,3.25,2.8,3.0,3.2,2.45,14,5,4,2,2.67,3.22,2.91,7,3
2022-08-20,Burnley,Blackpool,3,3,1.57,4.0,6.0,1.53,4.0,6.0,13,12,4,8,1.58,4.22,6.23,4,6
2022-08-20,Preston,Watford,0,0,2.62,3.1,2.8,2.15,3.1,3.8,10,12,4,2,2.72,3.19,2.89,7,5
2022-08-20,QPR,Rotherham,1,1,2.1,3.5,3.6,2.1,3.4,3.6,17,6,5,2,2.08,3.48,3.84,9,3
2022-08-20,Reading,Middlesbrough,1,0,3.3,3.6,2.1,3.75,3.6,2.0,8,16,3,3,3.46,3.62,2.16,5,7
2022-08-20,Sheffield United,Blackburn,3,0,1.75,3.6,4.75,1.9,3.6,4.0,22,3,11,0,1.79,3.71,4.93,11,4
2022-08-20,Stoke,Sunderland,0,1,2.1,3.4,3.5,2.0,3.5,3.75,15,12,3,2,2.15,3.41,3.7,7,3
2022-08-20,Swansea,Luton,0,2,2.45,3.2,3.1,2.3,3.4,3.1,14,7,2,5,2.53,3.29,3.04,7,5
2022-08-20,West Brom,Hull,5,2,1.55,4.2,6.0,1.5,4.33,6.5,16,7,7,5,1.56,4.16,6.64,12,2
2022-08-21,Bristol City,Cardiff,2,0,2.2,3.3,3.4,2.37,3.2,3.2,15,10,3,3,2.31,3.48,3.25,7,8
2022-08-26,Luton,Sheffield United,1,1,3.25,3.2,2.3,3.4,3.2,2.25,12,12,4,3,3.23,3.3,2.41,4,9
2022-08-27,Sunderland,Norwich,0,1,3.2,3.3,2.3,2.9,3.3,2.45,20,12,6,3,3.3,3.44,2.31,8,7
2022-08-27,Blackburn,Stoke,0,1,2.5,3.2,2.9,2.45,3.25,3.0,18,8,2,3,2.54,3.34,2.99,12,3
2022-08-27,Blackpool,Bristol City,3,3,2.25,3.3,3.3,2.25,3.4,3.2,19,13,4,4,2.25,3.46,3.38,5,3
2022-08-27,Cardiff,Preston,0,0,2.75,3.0,2.87,3.0,3.0,2.62,22,5,2,0,2.86,3.04,2.86,8,2
2022-08-27,Huddersfield,West Brom,2,2,4.2,3.5,1.95,5.25,3.8,1.66,11,16,3,6,4.31,3.4,1.99,6,4
2022-08-27,Hull,Coventry,3,2,3.0,3.4,2.37,3.1,3.3,2.3,9,15,4,6,3.13,3.46,2.39,3,4
2022-08-27,Middlesbrough,Swansea,2,1,1.75,3.75,4.75,1.66,4.0,5.25,7,9,3,4,1.8,3.71,4.88,8,4
2022-08-27,Millwall,Reading,0,1,1.85,3.4,4.75,1.75,3.4,5.25,13,5,1,2,1.9,3.51,4.57,3,1
2022-08-27,Rotherham,Birmingham,2,0,2.0,3.3,4.0,2.05,3.3,3.8,20,10,6,3,2.05,3.42,4.04,7,2
2022-08-27,Watford,QPR,2,3,1.9,3.4,4.33,2.05,3.3,3.8,12,9,5,5,1.97,3.47,4.28,1,4
2022-08-27,Wigan,Burnley,1,5,3.25,3.1,2.37,3.5,3.1,2.25,18,8,4,6,3.25,3.31,2.39,6,1
2022-08-30,Birmingham,Norwich,1,2,4.5,3.5,1.83,4.33,3.75,1.75,9,14,2,5,4.59,3.67,1.85,6,8
2022-08-30,Burnley,Millwall,2,0,1.85,3.3,4.75,1.8,3.4,4.75,22,12,10,5,1.93,3.38,4.69,5,3
2022-08-30,Cardiff,Luton,1,2,2.55,3.2,2.9,2.5,3.1,3.0,17,14,2,4,2.68,3.08,3.04,5,2
2022-08-30,QPR,Hull,3,1,1.8,3.6,4.33,1.75,3.8,4.5,11,7,7,3,1.81,3.8,4.64,2,7
2022-08-30,Sheffield United,Reading,4,0,1.57,4.0,6.0,1.5,4.2,7.0,18,4,7,0,1.58,4.15,6.39,3,5
2022-08-30,Wigan,West Brom,1,1,3.75,3.4,2.05,3.8,3.4,2.0,8,8,3,3,4.05,3.5,2.01,3,2
2022-08-30,Watford,Middlesbrough,2,1,2.5,3.25,2.9,2.3,3.2,3.25,14,14,4,3,2.56,3.17,3.11,2,7
2022-08-31,Bristol City,Huddersfield,2,0,1.9,3.6,4.0,1.75,3.8,4.5,12,12,7,4,1.88,3.72,4.33,4,7
2022-08-31,Coventry,Preston,0,1,2.25,3.1,3.5,2.25,3.25,3.4,13,13,4,4,2.25,3.37,3.5,9,6
2022-08-31,Stoke,Swansea,1,1,2.1,3.5,3.6,2.15,3.4,3.5,20,10,4,5,2.08,3.52,3.78,12,3
2022-08-31,Sunderland,Rotherham,3,0,2.1,3.4,3.6,2.05,3.5,3.6,16,7,3,3,2.15,3.45,3.67,2,1
2022-08-31,Blackpool,Blackburn,0,1,2.4,3.3,3.0,2.4,3.3,3.0,13,17,1,5,2.53,3.27,3.06,7,5
2022-09-02,West Brom,Burnley,1,1,2.15,3.3,3.6,2.3,3.25,3.25,23,11,8,4,2.16,3.34,3.76,9,1
2022-09-03,Blackburn,Bristol City,2,3,2.15,3.5,3.3,2.2,3.5,3.1,11,16,6,5,2.16,3.54,3.55,5,6
2022-09-03,Luton,Wigan,1,2,2.1,3.3,3.6,2.1,3.3,3.6,13,9,4,1,2.15,3.24,3.94,9,4
2022-09-03,Millwall,Cardiff,2,0,2.05,3.2,4.0,2.25,3.2,3.5,16,12,7,2,2.15,3.22,3.97,4,6
2022-09-03,Norwich,Coventry,3,0,1.75,3.6,4.75,1.6,4.0,5.5,14,7,7,1,1.78,3.8,4.87,4,1
2022-09-03,Preston,Birmingham,0,1,1.66,3.6,5.75,1.75,3.5,5.0,10,8,3,3,1.68,3.7,6.1,4,6
2022-09-03,Rotherham,Watford,1,1,3.25,3.3,2.25,3.5,3.4,2.1,8,12,3,2,3.55,3.3,2.26,3,6
2022-09-03,Swansea,QPR,1,0,2.37,3.3,3.0,2.37,3.3,3.0,13,8,4,3,2.5,3.45,2.97,6,4
2022-09-04,Reading,Stoke,2,1,2.9,3.2,2.5,2.9,3.2,2.45,11,11,3,3,3.13,3.25,2.5,4,6
2022-09-04,Huddersfield,Blackpool,0,1,2.5,3.25,2.87,2.4,3.25,3.0,15,7,6,2,2.53,3.47,2.91,10,2
2022-09-04,Hull,Sheffield United,0,2,4.2,3.5,1.9,4.5,3.5,1.85,11,12,3,5,4.18,3.73,1.92,6,1
2022-09-05,Middlesbrough,Sunderland,1,0,1.72,3.6,5.0,1.9,3.5,4.0,15,8,5,2,1.75,3.83,4.9,4,6
