Date,HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,B365CH,B365CD,B365CA,HS,AS,HST,AST,PSH,PSD,PSA,HC,AC
2020-09-11,Watford,Middlesbrough,1,0,2.0,3.3,4.0,2.0,3.4,3.9,10,11,2,4,1.99,3.46,4.12,6,6
2020-09-12,Birmingham,Brentford,1,0,4.5,3.6,1.8,4.2,3.4,1.9,11,16,3,4,4.7,3.58,1.84,6,3
2020-09-12,Wycombe,Rotherham,0,1,2.8,3.4,2.5,3.25,3.4,2.2,10,12,4,2,2.84,3.33,2.58,3,4
2020-09-12,Barnsley,Luton,0,1,2.1,3.4,3.6,1.75,3.6,4.75,10,3,1,1,2.08,3.47,3.78,5,6
2020-09-12,Bournemouth,Blackburn,3,2,1.95,3.5,3.9,1.95,3.6,3.75,12,15,5,2,2.06,3.49,3.81,5,2
2020-09-12,Bristol City,Coventry,2,1,2.2,3.3,3.4,2.3,3.3,3.2,11,16,6,4,2.19,3.38,3.49,5,7
2020-09-12,Cardiff,Sheffield Weds,0,2,2.05,3.4,3.75,2.37,3.1,3.25,7,8,2,4,2.15,3.29,3.79,4,6
2020-09-12,Derby,Reading,0,2,2.05,3.5,3.6,2.6,3.2,2.8,9,8,2,3,2.06,3.51,3.79,6,2
2020-09-12,Huddersfield,Norwich,0,1,3.3,3.5,2.15,3.4,3.3,2.2,7,16,1,5,3.56,3.44,2.16,3,7
2020-09-12,Millwall,Stoke,0,0,2.5,3.2,2.9,2.5,3.1,3.0,9,13,1,4,2.67,3.11,2.97,2,8
2020-09-12,Preston,Swansea,0,1,2.3,3.25,3.25,2.37,3.1,3.25,11,6,4,1,2.38,3.22,3.24,2,3
2020-09-12,QPR,Nott'm Forest,2,0,3.0,3.3,2.4,2.8,3.25,2.6,9,6,3,0,3.12,3.28,2.45,4,2
2020-09-18,Coventry,QPR,3,2,2.4,3.25,3.1,2.3,3.25,3.25,12,7,5,4,2.49,3.33,3.08,7,4
2020-09-19,Nott'm Forest,Cardiff,0,2,2.55,3.2,2.9,2.55,3.2,2.87,13,9,3,4,2.61,3.22,2.88,9,2
2020-09-19,Blackburn,Wycombe,5,0,1.57,3.8,6.5,1.57,3.8,6.0,23,9,16,1,1.6,3.82,6.41,12,2
2020-09-19,Brentford,Huddersfield,3,0,1.53,4.0,7.0,1.5,4.0,7.0,23,10,6,4,1.57,3.84,6.91,6,3
2020-09-19,Luton,Derby,2,1,2.7,3.25,2.65,2.6,3.2,2.8,9,14,3,3,2.78,3.14,2.76,4,5
2020-09-19,Middlesbrough,Bournemouth,1,1,2.9,3.25,2.5,3.1,3.2,2.4,18,9,7,4,2.88,3.24,2.6,7,7
2020-09-19,Norwich,Preston,2,2,1.8,3.6,4.5,2.05,3.4,3.75,14,16,6,6,1.85,3.64,4.48,4,9
2020-09-19,Reading,Barnsley,2,0,2.4,3.3,3.0,2.4,3.3,3.0,6,9,5,2,2.46,3.13,3.19,6,5
2020-09-19,Rotherham,Millwall,0,1,2.8,3.1,2.7,3.0,3.1,2.5,14,8,1,2,2.92,3.08,2.68,8,3
2020-09-19,Sheffield Weds,Watford,0,0,2.87,3.25,2.55,2.4,3.2,3.1,8,6,1,3,2.86,3.17,2.67,2,8
2020-09-19,Swansea,Birmingham,0,0,2.05,3.2,3.9,2.15,3.1,3.8,8,10,5,3,2.07,3.12,4.23,5,8
2020-09-20,Stoke,Bristol City,0,2,2.0,3.5,3.8,1.9,3.6,4.2,8,10,0,4,1.97,3.41,4.22,7,4
2020-09-25,Huddersfield,Nott'm Forest,1,0,3.0,3.2,2.45,2.87,3.1,2.6,15,14,7,4,3.2,3.14,2.52,3,4
2020-09-26,Watford,Luton,1,0,1.7,3.75,5.25,1.8,3.4,4.75,14,4,5,0,1.71,3.67,5.7,11,1
2020-09-26,Wycombe,Swansea,0,2,4.75,3.7,1.75,4.5,3.7,1.8,8,17,2,6,5.15,3.73,1.76,5,7
2020-09-26,Barnsley,Coventry,0,0,2.2,3.3,3.4,2.37,3.25,3.1,13,10,2,0,2.26,3.3,3.54,5,7
2020-09-26,Birmingham,Rotherham,1,1,2.2,3.3,3.4,2.1,3.25,3.75,13,9,5,3,2.18,3.34,3.7,5,6
